;Opcao;Tempo(ms)
353;4;0.000057
354;4;0.000072
355;4;0.000058
356;4;0.000028
357;4;0.000081
358;4;0.000100
359;4;0.000093
360;5;0.000038
361;5;0.000032
362;5;0.000052
363;5;0.000096
364;5;0.000087
365;5;0.000059
366;5;0.000074
367;5;0.000082
368;5;0.000085
369;5;0.000047
370;5;0.000084
371;5;0.000056
372;5;0.000082
373;5;0.000072
374;5;0.000065
375;5;0.000077
376;5;0.000100
377;5;0.000064
378;5;0.000086
379;5;0.000077
380;5;0.000082
381;5;0.000081
382;5;0.000073
383;5;0.000077
384;5;0.000057
385;5;0.000076
386;5;0.000085
387;5;0.000070
388;5;0.000085
389;5;0.000060
390;5;0.000088
391;5;0.000061
392;5;0.000051
393;5;0.000083
394;5;0.000089
395;5;0.000079
396;5;0.000093
397;5;0.000080
398;5;0.000064
399;5;0.000089
400;5;0.000050
401;5;0.000072
402;5;0.000098
403;5;0.000088
404;5;0.000077
405;5;0.000030
406;5;0.000055
407;5;0.000052
408;5;0.000064
409;5;0.000076
410;5;0.000094
411;5;0.000053
412;5;0.000049
413;5;0.000080
414;5;0.000074
415;5;0.000080
416;5;0.000057
417;5;0.000082
418;5;0.000086
419;5;0.000099
420;5;0.000057
421;5;0.000070
422;5;0.000087
423;5;0.000057
424;5;0.000054
425;5;0.000051
426;5;0.000086
427;5;0.000063
428;5;0.000074
429;5;0.000073
430;5;0.000088
431;5;0.000023
432;5;0.000071
433;5;0.000091
434;5;0.000058
435;5;0.000101
436;5;0.000056
437;5;0.000089
438;5;0.000090
439;5;0.000042
440;5;0.000085
441;5;0.000037
442;5;0.000056
443;5;0.000072
444;5;0.000114
445;5;0.000091
446;5;0.000101
447;5;0.000073
448;5;0.000076
449;5;0.000104
450;6;0.000069
451;6;0.000062
452;6;0.000100
453;6;0.000097
454;6;0.000100
455;6;0.000093
456;6;0.000088
457;6;0.000093
458;6;0.000049
459;6;0.000092
460;6;0.000106
461;6;0.000090
462;6;0.000062
463;6;0.000060
464;6;0.000101
465;6;0.000080
466;6;0.000074
467;6;0.000077
468;6;0.000089
469;6;0.000090
470;6;0.000078
471;6;0.000089
472;6;0.000093
473;6;0.000035
474;6;0.000083
475;6;0.000088
476;6;0.000091
477;6;0.000088
478;6;0.000089
479;6;0.000092
480;6;0.000072
481;6;0.000068
482;6;0.000071
483;6;0.000069
484;6;0.000079
485;6;0.000078
486;6;0.000082
487;6;0.000090
488;6;0.000071
489;6;0.000093
490;6;0.000076
491;6;0.000038
492;6;0.000096
493;6;0.000095
494;6;0.000090
495;6;0.000093
496;6;0.000054
497;6;0.000076
498;6;0.000089
499;6;0.000067
500;6;0.000058
501;6;0.000090
502;6;0.000074
503;6;0.000099
504;6;0.000088
505;6;0.000039
506;6;0.000101
507;6;0.000096
508;6;0.000092
509;6;0.000100
510;6;0.000100
511;6;0.000091
512;6;0.000099
513;6;0.000100
514;6;0.000103
515;6;0.000060
516;6;0.000101
517;6;0.000069
518;6;0.000111
519;6;0.000094
520;6;0.000056
521;6;0.000084
522;6;0.000099
523;6;0.000084
524;6;0.000096
525;6;0.000090
526;6;0.000070
527;6;0.000095
528;6;0.000087
529;6;0.000096
530;6;0.000081
531;6;0.000086
532;6;0.000092
533;6;0.000105
534;6;0.000078
535;6;0.000067
536;6;0.000066
537;6;0.000071
538;6;0.000088
539;6;0.000063
