;Opcao;Tempo(ms);Tempo Server;Tempo Comunicacao
119;2;5e-05;1.5e-05;3.5000000000000004e-05
120;2;7.2e-05;1.7e-05;5.5e-05
121;2;9.7e-05;1.4e-05;8.3e-05
122;2;6.9e-05;1.6e-05;5.3e-05
123;2;5.6e-05;1.2e-05;4.4e-05
124;2;7.6e-05;1.2e-05;6.400000000000001e-05
125;2;5.5e-05;1.4e-05;4.1e-05
126;2;3.4e-05;1.1e-05;2.3e-05
127;2;7.9e-05;1.1e-05;6.8e-05
128;2;0.000113;1.5e-05;9.8e-05
129;2;5.8e-05;1.1e-05;4.7000000000000004e-05
130;2;5.8e-05;1.5e-05;4.3e-05
131;2;7.7e-05;1.1e-05;6.6e-05
132;2;5.9e-05;2e-05;3.9e-05
133;2;8.3e-05;1.2e-05;7.099999999999999e-05
134;2;8.4e-05;1.2e-05;7.199999999999999e-05
135;2;9e-06;1.2e-05;-3e-06
136;2;8e-05;1.9e-05;6.1000000000000005e-05
137;2;0.000109;1.2e-05;9.7e-05
138;2;7.2e-05;1.2e-05;6e-05
139;2;7e-05;1.2e-05;5.7999999999999994e-05
140;2;7e-05;1.9e-05;5.099999999999999e-05
141;2;9.1e-05;3.5e-05;5.6000000000000006e-05
142;2;8e-05;2.4e-05;5.6000000000000006e-05
143;2;8.5e-05;1.2e-05;7.300000000000001e-05
144;2;7.8e-05;1.4e-05;6.4e-05
145;2;5e-05;1.7e-05;3.3e-05
146;2;7.8e-05;1.2e-05;6.6e-05
147;2;5.7e-05;1.2e-05;4.5e-05
148;2;8.6e-05;1.7e-05;6.9e-05
149;2;4.4e-05;1.2e-05;3.2e-05
150;2;5.3e-05;1.2e-05;4.1e-05
151;2;7.7e-05;1.2e-05;6.500000000000001e-05
152;2;7.7e-05;1.4e-05;6.3e-05
153;2;5.9e-05;1.1e-05;4.8e-05
154;2;8.6e-05;1.4e-05;7.2e-05
155;2;9.7e-05;1.2e-05;8.5e-05
156;2;9.3e-05;1.4e-05;7.9e-05
157;2;0.000103;1.4e-05;8.9e-05
158;2;7e-05;2.2e-05;4.7999999999999994e-05
159;2;7.5e-05;1.6e-05;5.9e-05
160;2;9.6e-05;1.3e-05;8.3e-05
161;2;0.000102;1.2e-05;8.999999999999999e-05
162;2;8e-05;2.4e-05;5.6000000000000006e-05
163;2;6.5e-05;1.6e-05;4.9e-05
164;2;8e-05;1.6e-05;6.400000000000001e-05
165;2;5.7e-05;1.1e-05;4.600000000000001e-05
166;2;7.1e-05;1.1e-05;6.000000000000001e-05
167;2;6.6e-05;1.3e-05;5.300000000000001e-05
168;2;5.6e-05;1.2e-05;4.4e-05
169;2;8.1e-05;1.2e-05;6.9e-05
170;2;6.5e-05;2.1e-05;4.4e-05
171;2;6.9e-05;1.4e-05;5.4999999999999995e-05
172;2;0.0001;1.3e-05;8.7e-05
173;2;3.6e-05;1.3e-05;2.3000000000000003e-05
174;2;4.8e-05;1.6e-05;3.2000000000000005e-05
175;2;6.9e-05;1.2e-05;5.6999999999999996e-05
176;2;0.000103;1.5e-05;8.8e-05
177;2;6.7e-05;1.2e-05;5.5e-05
178;2;7.4e-05;1.4e-05;5.9999999999999995e-05
179;2;4.8e-05;1.5e-05;3.3e-05
180;3;6.1e-05;3.6e-05;2.4999999999999998e-05
181;3;9.1e-05;1.4e-05;7.7e-05
182;3;0.000103;1.7e-05;8.6e-05
183;3;9.8e-05;1.6e-05;8.2e-05
184;3;9.3e-05;1.2e-05;8.099999999999999e-05
185;3;5.6e-05;1.5e-05;4.1e-05
186;3;6.3e-05;1.3e-05;5e-05
187;3;0.000103;1.3e-05;8.999999999999999e-05
188;3;8.5e-05;1.2e-05;7.300000000000001e-05
189;3;6.3e-05;2.7e-05;3.6e-05
190;3;7.2e-05;1.7e-05;5.5e-05
191;3;8.5e-05;1.2e-05;7.300000000000001e-05
192;3;9e-05;1.1e-05;7.900000000000001e-05
193;3;6e-05;1.2e-05;4.8e-05
194;3;8.2e-05;1.2e-05;7e-05
195;3;9.3e-05;1.2e-05;8.099999999999999e-05
196;3;6.2e-05;1.6e-05;4.600000000000001e-05
197;3;6.8e-05;1.6e-05;5.2000000000000004e-05
198;3;7.8e-05;1.2e-05;6.6e-05
199;3;7e-05;1.2e-05;5.7999999999999994e-05
200;3;9.1e-05;1.2e-05;7.9e-05
201;3;0.000108;1.1e-05;9.7e-05
202;3;9.9e-05;1.2e-05;8.7e-05
203;3;8e-05;1.1e-05;6.900000000000001e-05
204;3;0.000101;1.3e-05;8.8e-05
205;3;0.000116;1.5e-05;0.000101
206;3;5.6e-05;1.2e-05;4.4e-05
207;3;9e-05;1.2e-05;7.8e-05
208;3;6.6e-05;1.2e-05;5.4000000000000005e-05
209;3;8.6e-05;3.3e-05;5.3e-05
210;3;7.6e-05;3.3e-05;4.3e-05
211;3;0.0001;2.4e-05;7.6e-05
212;3;8.4e-05;3.8e-05;4.599999999999999e-05
213;3;6e-05;2.6e-05;3.4e-05
214;3;6.4e-05;1.5e-05;4.9e-05
215;3;8.3e-05;1.8e-05;6.5e-05
216;3;8.7e-05;1.3e-05;7.4e-05
217;3;8.7e-05;1.5e-05;7.2e-05
218;3;7.1e-05;2.7e-05;4.4000000000000006e-05
219;3;7.6e-05;3.7e-05;3.9000000000000006e-05
220;3;8.9e-05;2.7e-05;6.199999999999999e-05
221;3;6.6e-05;3.5e-05;3.100000000000001e-05
222;3;9.6e-05;2e-05;7.6e-05
223;3;8.8e-05;2.9e-05;5.9e-05
224;3;8.7e-05;2.9e-05;5.8e-05
225;3;8.8e-05;2.8e-05;5.9999999999999995e-05
226;3;8.4e-05;2.7e-05;5.6999999999999996e-05
227;3;6.7e-05;3.7e-05;3.0000000000000004e-05
228;3;8.4e-05;2.5e-05;5.9e-05
229;3;9.6e-05;1.4e-05;8.2e-05
230;3;8.2e-05;1.4e-05;6.8e-05
231;3;0.000102;2.8e-05;7.4e-05
232;3;7.8e-05;1.5e-05;6.3e-05
233;3;9.8e-05;3.6e-05;6.199999999999999e-05
234;3;8.6e-05;2.6e-05;6.000000000000001e-05
235;3;9e-05;2.7e-05;6.300000000000001e-05
236;3;6.9e-05;2.3e-05;4.599999999999999e-05
237;3;0.000113;3.7e-05;7.6e-05
238;3;3.8e-05;2.6e-05;1.2000000000000004e-05
239;3;5.3e-05;3.5e-05;1.8000000000000004e-05
240;3;7.5e-05;2.7e-05;4.7999999999999994e-05
241;3;8.9e-05;2.8e-05;6.099999999999999e-05
242;3;0.000113;2.4e-05;8.9e-05
243;3;9.3e-05;1.3e-05;7.999999999999999e-05
244;3;4.4e-05;1.8e-05;2.6e-05
245;3;9.2e-05;1.2e-05;7.999999999999999e-05
246;3;6.8e-05;1.2e-05;5.6e-05
247;3;9.9e-05;1.2e-05;8.7e-05
248;3;9.3e-05;1.2e-05;8.099999999999999e-05
